0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
7,1
7,2
7,3
7,4
7,5
8,5
9,5
9,4
9,3
10,3
11,3
11,2
10,2
9,2
8,2
8,1
9,1
10,1
10,0
11,0
12,0
12,1
13,1
13,2
14,2
14,1
15,1
16,1
17,1
17,0
18,0
18,1
18,2
18,3
17,3
16,3
16,4
15,4
15,5
15,6
14,6
14,7
15,7
15,8
14,8
13,8
13,7
13,6
13,5
13,4
13,3
12,3
12,4
12,5
11,5
11,6
12,6
12,7
12,8
11,8
10,8
10,9
9,9
8,9
8,10
9,10
9,11
9,12
8,12
8,13
7,13
7,14
8,14
9,14
9,13
10,13
10,14
10,15
10,16
10,17
11,17
11,18
12,18
12,19
11,19
10,19
9,19
9,20
8,20
8,21
8,22
8,23
8,24
8,25
8,26
7,26
7,25
6,25
6,26
5,26
5,25
5,24
6,24
6,23
5,23
4,23
3,23
3,24
4,24
4,25
3,25
2,25
2,24
2,23
1,23
1,24
1,25
0,25
0,26
0,27
0,28
1,28
2,28
2,27
3,27
3,28
4,28
4,29
5,29
5,30
5,31
4,31
4,30
3,30
2,30
2,29
1,29
0,29
0,30
1,30
1,31
2,31
3,31
3,32
2,32
2,33
1,33
0,33
0,34
0,35
0,36
0,37
0,38
1,38
1,37
1,36
1,35
2,35
3,35
3,34
3,33
4,33
4,34
5,34
5,33
5,32
6,32
6,31
7,31
7,30
6,30
6,29
7,29
7,28
6,28
5,28
5,27
6,27
7,27
8,27
9,27
9,28
9,29
8,29
8,30
8,31
8,32
7,32
7,33
8,33
8,34
8,35
7,35
7,34
6,34
6,35
5,35
5,36
5,37
4,37
3,37
2,37
2,38
3,38
3,39
4,39
5,39
6,39
6,40
5,40
4,40
3,40
2,40
2,39
1,39
0,39
0,40
1,40
1,41
2,41
2,42
2,43
2,44
1,44
1,45
1,46
1,47
2,47
2,46
3,46
3,45
4,45
4,46
5,46
5,45
6,45
6,44
7,44
8,44
8,43
7,43
7,42
6,42
6,41
7,41
8,41
8,42
9,42
9,41
10,41
11,41
11,42
10,42
10,43
11,43
11,44
11,45
12,45
12,46
11,46
11,47
11,48
11,49
12,49
12,48
13,48
14,48
14,49
13,49
13,50
14,50
15,50
15,51
14,51
13,51
13,52
12,52
12,51
11,51
11,50
10,50
10,49
10,48
10,47
9,47
9,46
8,46
8,45
7,45
7,46
6,46
6,47
5,47
4,47
3,47
3,48
2,48
1,48
0,48
0,49
1,49
2,49
2,50
2,51
2,52
1,52
1,51
0,51
0,52
0,53
0,54
1,54
1,53
2,53
3,53
3,54
4,54
4,53
5,53
5,54
5,55
4,55
4,56
3,56
3,55
2,55
2,56
1,56
0,56
0,57
1,57
2,57
2,58
1,58
0,58
0,59
1,59
1,60
1,61
0,61
0,62
0,63
0,64
0,65
0,66
1,66
1,67
0,67
0,68
1,68
1,69
1,70
1,71
1,72
0,72
0,73
0,74
1,74
1,73
2,73
3,73
3,72
3,71
4,71
5,71
5,70
4,70
3,70
3,69
4,69
4,68
3,68
3,67
3,66
2,66
2,65
1,65
1,64
1,63
2,63
3,63
3,64
4,64
5,64
5,63
4,63
4,62
4,61
4,60
5,60
5,61
6,61
6,62
6,63
7,63
7,62
7,61
8,61
9,61
9,62
10,62
11,62
11,63
10,63
10,64
9,64
9,65
10,65
10,66
9,66
9,67
9,68
9,69
9,70
8,70
8,71
7,71
6,71
6,72
5,72
4,72
4,73
5,73
5,74
4,74
3,74
2,74
2,75
1,75
0,75
0,76
1,76
2,76
3,76
3,75
4,75
5,75
5,76
5,77
5,78
6,78
6,79
5,79
5,80
5,81
6,81
6,80
7,80
8,80
8,79
9,79
9,78
10,78
11,78
12,78
13,78
14,78
14,77
15,77
15,78
16,78
16,77
16,76
16,75
15,75
14,75
13,75
13,74
13,73
14,73
14,74
15,74
16,74
17,74
17,73
16,73
16,72
16,71
15,71
15,72
14,72
13,72
13,71
13,70
12,70
12,71
12,72
12,73
11,73
11,72
10,72
10,73
9,73
8,73
8,74
7,74
7,75
8,75
9,75
9,74
10,74
10,75
11,75
12,75
12,76
13,76
13,77
12,77
11,77
10,77
9,77
8,77
8,78
7,78
7,77
6,77
6,76
6,75
6,74
6,73
7,73
7,72
8,72
9,72
9,71
10,71
